row_id	source_uid	pair_id	use_for	good_stem	bad_stem	sentence_good	sentence_bad	lexically_identical
228	transitive	251	1.10_tran_V_valency	bore	fall	These projectors haven't bored Jessica.	These projectors haven't fallen Jessica.	false
229	transitive	252	1.10_tran_V_valency	climbup	comehere	Some fish climbed up mountains.	Some fish comes here mountains.	false
230	transitive	253	1.10_tran_V_valency	escapefrom	mutter	Alan's dermatologist hasn't escaped from Vincent.	Alan's dermatologist hasn't muttered Vincent.	false
231	transitive	254	1.10_tran_V_valency	skatearound	shout	Marla wasn't skated around the cafe.	Marla wasn't shouting the cafe.	false
232	transitive	255	1.10_tran_V_valency	walkthrough	cry	All grandsons of Stacy walk through some art gallery.	All grandsons of Stacy cried some art gallery.	false
233	transitive	256	1.10_tran_V_valency	pass	fall	Some drivers aren't passing these public parks.	Some drivers aren't falling these public parks.	false
234	transitive	257	1.10_tran_V_valency	runaround	escape	Christine runs around these schools.	Christine escaped these schools.	false
235	transitive	258	1.10_tran_V_valency	approach	fall	Stacey approaches William.	Stacey falls William.	false
236	transitive	260	1.10_tran_V_valency	clean	cooperate	Cindy's podiatrists cleaned most public parks.	Cindy's podiatrists cooperated most public parks.	false
237	transitive	261	1.10_tran_V_valency	soundlike	concur	Dan sounded like the woman.	Dan concurred the woman.	false
238	transitive	262	1.10_tran_V_valency	hurt	shrug	Some waiter's mentee hurt a niece of Cindy.	Some waiter's mentee shrugs a niece of Cindy.	false
239	transitive	263	1.10_tran_V_valency	boycott	lie	Larry shouldn't boycott this art gallery.	Larry shouldn't lie this art gallery.	false
240	transitive	264	1.10_tran_V_valency	bother	go	Deborah bothered most customers.	Deborah went fishing most customers.	false
241	transitive	265	1.10_tran_V_valency	heal	concur	Nicole heals Todd.	Nicole concurs Todd.	false
242	transitive	266	1.10_tran_V_valency	disturb	suffer	Regina disturbs Matt's guests.	Regina suffers Matt's guests.	false
243	transitive	267	1.10_tran_V_valency	clean	murmur	Homer cleans many banks.	Homer murmurs many banks.	false
244	transitive	268	1.10_tran_V_valency	looklike	weep	Elaine can't look like this photograph of these blouses.	Elaine can't weep this photograph of these blouses.	false
245	transitive	269	1.10_tran_V_valency	impress	talk	A lot of cousins of some student weren't impressing Guy's students.	A lot of cousins of some student weren't talking Guy's students.	false
246	transitive	270	1.10_tran_V_valency	examine	chuckle	Ella examines a nephew of some customers.	Ella chuckled a nephew of some customers.	false
247	transitive	272	1.10_tran_V_valency	thinkabout	chat	Becky's classmates think about Florence's dermatologist.	Becky's classmates chatted Florence's dermatologist.	false
248	transitive	273	1.10_tran_V_valency	hire	testify	Donna's mother hires Amanda.	Donna's mother testifies Amanda.	false
249	transitive	274	1.10_tran_V_valency	remember	cry	Every patient remembers the friends of Eric.	Every patient cried the friends of Eric.	false
250	transitive	275	1.10_tran_V_valency	thinkabout	slumpover	Most grandfathers of Gregory think about some fish.	Most grandfathers of Gregory slumped over some fish.	false
