pair_index	id	language	phenomenon_id	good_score	bad_score	delta	correct	tie	good	bad
231	231			-5.48990154	-5.49256849	0.00266695	1	0	Marla wasn't skated around the cafe.	Marla wasn't shouting the cafe.
232	232			-7.34385204	-7.62501335	0.28116131	1	0	All grandsons of Stacy walk through some art gallery.	All grandsons of Stacy cried some art gallery.
233	233			-6.30293846	-6.39389133	0.09095287	1	0	Some drivers aren't passing these public parks.	Some drivers aren't falling these public parks.
234	234			-5.53676605	-5.79607821	0.25931215	1	0	Christine runs around these schools.	Christine escaped these schools.
235	235			-6.51046038	-6.86840010	0.35793972	1	0	Stacey approaches William.	Stacey falls William.
236	236			-7.69775724	-7.68393946	-0.01381779	0	0	Cindy's podiatrists cleaned most public parks.	Cindy's podiatrists cooperated most public parks.
237	237			-4.74917364	-6.18907118	1.43989754	1	0	Dan sounded like the woman.	Dan concurred the woman.
238	238			-7.36826944	-7.36087751	-0.00739193	0	0	Some waiter's mentee hurt a niece of Cindy.	Some waiter's mentee shrugs a niece of Cindy.
239	239			-7.23786259	-6.60625696	-0.63160563	0	0	Larry shouldn't boycott this art gallery.	Larry shouldn't lie this art gallery.
240	240			-7.54706669	-7.11295271	-0.43411398	0	0	Deborah bothered most customers.	Deborah went fishing most customers.
241	241			-6.68519449	-6.42835760	-0.25683689	0	0	Nicole heals Todd.	Nicole concurs Todd.
242	242			-6.92319584	-6.69728804	-0.22590780	0	0	Regina disturbs Matt's guests.	Regina suffers Matt's guests.
243	243			-7.09969473	-7.34978247	0.25008774	1	0	Homer cleans many banks.	Homer murmurs many banks.
244	244			-5.09378386	-5.87912655	0.78534269	1	0	Elaine can't look like this photograph of these blouses.	Elaine can't weep this photograph of these blouses.
245	245			-5.83578682	-5.59745312	-0.23833370	0	0	A lot of cousins of some student weren't impressing Guy's students.	A lot of cousins of some student weren't talking Guy's students.
246	246			-6.04872465	-5.84850454	-0.20022011	0	0	Ella examines a nephew of some customers.	Ella chuckled a nephew of some customers.
247	247			-6.32207727	-6.83882380	0.51674652	1	0	Becky's classmates think about Florence's dermatologist.	Becky's classmates chatted Florence's dermatologist.
248	248			-6.84653282	-7.02576160	0.17922878	1	0	Donna's mother hires Amanda.	Donna's mother testifies Amanda.
249	249			-6.21147346	-6.16345882	-0.04801464	0	0	Every patient remembers the friends of Eric.	Every patient cried the friends of Eric.
250	250			-6.63264275	-7.10660887	0.47396612	1	0	Most grandfathers of Gregory think about some fish.	Most grandfathers of Gregory slumped over some fish.
